id,ts,operation,target_table,target_id,payload_json,source_url,note
1,2026-07-28 13:27:48,load-seed,db_meta,,"{""tables"": {""sources"": 128, ""projects"": 51, ""organizations"": 64, ""project_organizations"": 84, ""events"": 104, ""project_evidence"": 64, ""change_log"": 0, ""db_meta"": 0}}",,fresh rebuild from CSV
2,2026-07-28 13:28:27,export-csv,db_meta,,"{""rows_exported"": 498, ""tables"": {""sources"": 128, ""projects"": 51, ""organizations"": 64, ""project_organizations"": 84, ""events"": 104, ""project_evidence"": 64, ""change_log"": 1, ""db_meta"": 2}, ""score_drift"": 0}",,checkpoint refresh
3,2026-07-28 13:30:18,load-seed,db_meta,,"{""tables"": {""sources"": 128, ""projects"": 51, ""organizations"": 64, ""project_organizations"": 84, ""events"": 104, ""project_evidence"": 64, ""change_log"": 2, ""db_meta"": 2}}",,fresh rebuild from CSV
4,2026-07-29 23:42:37,relink-event,events,31,"{""table"": ""events"", ""row_id"": 31, ""project_id"": ""huatong-angola-industry-awards"", ""source_id_old"": 16, ""source_id_new"": 125, ""source_url"": ""https://360angola.com/business/infrastructure/huatong-angola-to-invest-900-million-in-barra-do-dande-port-terminal/"", ""source_created"": false, ""cleared"": false, ""note"": null, ""score_old"": 83, ""score_new"": 83}",https://360angola.com/business/infrastructure/huatong-angola-to-invest-900-million-in-barra-do-dande-port-terminal/,
5,2026-07-29 23:42:37,relink-event,events,32,"{""table"": ""events"", ""row_id"": 32, ""project_id"": ""huatong-angola-industry-awards"", ""source_id_old"": 16, ""source_id_new"": 54, ""source_url"": ""https://www.verangola.net/va/pt/072026/Economia/49508/Huatong-Angola-Industry-conquista-tres-premios-e-e-a-grande-vencedora-dos-AIPEX-Awards.htm"", ""source_created"": false, ""cleared"": false, ""note"": null, ""score_old"": 83, ""score_new"": 83}",https://www.verangola.net/va/pt/072026/Economia/49508/Huatong-Angola-Industry-conquista-tres-premios-e-e-a-grande-vencedora-dos-AIPEX-Awards.htm,
6,2026-07-29 23:42:37,relink-evidence,project_evidence,1,"{""table"": ""project_evidence"", ""row_id"": 1, ""project_id"": ""huatong-angola-industry-awards"", ""source_id_old"": 16, ""source_id_new"": 54, ""source_url"": ""https://www.verangola.net/va/pt/072026/Economia/49508/Huatong-Angola-Industry-conquista-tres-premios-e-e-a-grande-vencedora-dos-AIPEX-Awards.htm"", ""source_created"": false, ""cleared"": false, ""note"": null, ""score_old"": 83, ""score_new"": 83}",https://www.verangola.net/va/pt/072026/Economia/49508/Huatong-Angola-Industry-conquista-tres-premios-e-e-a-grande-vencedora-dos-AIPEX-Awards.htm,
7,2026-07-29 23:42:37,relink-evidence,project_evidence,2,"{""table"": ""project_evidence"", ""row_id"": 2, ""project_id"": ""huatong-angola-industry-awards"", ""source_id_old"": 16, ""source_id_new"": 125, ""source_url"": ""https://360angola.com/business/infrastructure/huatong-angola-to-invest-900-million-in-barra-do-dande-port-terminal/"", ""source_created"": false, ""cleared"": false, ""note"": null, ""score_old"": 83, ""score_new"": 83}",https://360angola.com/business/infrastructure/huatong-angola-to-invest-900-million-in-barra-do-dande-port-terminal/,
8,2026-07-29 23:42:37,relink-evidence,project_evidence,3,"{""table"": ""project_evidence"", ""row_id"": 3, ""project_id"": ""huatong-angola-industry-awards"", ""source_id_old"": 16, ""source_id_new"": 125, ""source_url"": ""https://360angola.com/business/infrastructure/huatong-angola-to-invest-900-million-in-barra-do-dande-port-terminal/"", ""source_created"": false, ""cleared"": false, ""note"": null, ""score_old"": 83, ""score_new"": 83}",https://360angola.com/business/infrastructure/huatong-angola-to-invest-900-million-in-barra-do-dande-port-terminal/,
9,2026-07-29 23:42:38,relink-evidence,project_evidence,4,"{""table"": ""project_evidence"", ""row_id"": 4, ""project_id"": ""huatong-angola-industry-awards"", ""source_id_old"": 16, ""source_id_new"": 125, ""source_url"": ""https://360angola.com/business/infrastructure/huatong-angola-to-invest-900-million-in-barra-do-dande-port-terminal/"", ""source_created"": false, ""cleared"": false, ""note"": null, ""score_old"": 83, ""score_new"": 83}",https://360angola.com/business/infrastructure/huatong-angola-to-invest-900-million-in-barra-do-dande-port-terminal/,
10,2026-07-29 23:42:38,relink-event,events,30,"{""table"": ""events"", ""row_id"": 30, ""project_id"": ""huatong-angola-industry-awards"", ""source_id_old"": 16, ""source_id_new"": null, ""source_url"": null, ""source_created"": false, ""cleared"": true, ""note"": ""ungrounded link to 2023 article; production source pending"", ""score_old"": 83, ""score_new"": 83}",,ungrounded link to 2023 article; production source pending
11,2026-07-29 23:43:11,export-csv,db_meta,,"{""rows_exported"": 507, ""tables"": {""sources"": 128, ""projects"": 51, ""organizations"": 64, ""project_organizations"": 84, ""events"": 104, ""project_evidence"": 64, ""change_log"": 10, ""db_meta"": 2}, ""score_drift"": 0}",,checkpoint refresh
12,2026-07-29 23:47:37,load-seed,db_meta,,"{""tables"": {""sources"": 128, ""projects"": 51, ""organizations"": 64, ""project_organizations"": 84, ""events"": 104, ""project_evidence"": 64, ""change_log"": 11, ""db_meta"": 2}}",,fresh rebuild from CSV
13,2026-07-30 11:32:12,add-source,sources,130,"{""id"": 130, ""url"": ""https://www.verangola.net/va/pt/012026/Industria/47424/Presidente-inaugura-f%C3%A1brica-de-alum%C3%ADnio-de-investimento-chin%C3%AAs-de-250-milh%C3%B5es-de-d%C3%B3lares.htm"", ""title"": ""Presidente inaugura fábrica de alumínio de investimento chinês de 250 milhões de dólares"", ""publisher"": ""VerAngola"", ""date"": ""2026-01-15"", ""confidence"": ""high""}",https://www.verangola.net/va/pt/012026/Industria/47424/Presidente-inaugura-f%C3%A1brica-de-alum%C3%ADnio-de-investimento-chin%C3%AAs-de-250-milh%C3%B5es-de-d%C3%B3lares.htm,
14,2026-07-30 11:32:12,relink-event,events,30,"{""table"": ""events"", ""row_id"": 30, ""project_id"": ""huatong-angola-industry-awards"", ""source_id_old"": null, ""source_id_new"": 130, ""source_url"": ""https://www.verangola.net/va/pt/012026/Industria/47424/Presidente-inaugura-f%C3%A1brica-de-alum%C3%ADnio-de-investimento-chin%C3%AAs-de-250-milh%C3%B5es-de-d%C3%B3lares.htm"", ""source_created"": false, ""cleared"": false, ""note"": ""Phase 1 inauguration / production start, 15 Jan 2026; gap closed 2026-07-30"", ""score_old"": 83, ""score_new"": 83}",https://www.verangola.net/va/pt/012026/Industria/47424/Presidente-inaugura-f%C3%A1brica-de-alum%C3%ADnio-de-investimento-chin%C3%AAs-de-250-milh%C3%B5es-de-d%C3%B3lares.htm,"Phase 1 inauguration / production start, 15 Jan 2026; gap closed 2026-07-30"
15,2026-07-30 11:33:05,export-csv,db_meta,,"{""rows_exported"": 512, ""tables"": {""sources"": 129, ""projects"": 51, ""organizations"": 64, ""project_organizations"": 84, ""events"": 104, ""project_evidence"": 64, ""change_log"": 14, ""db_meta"": 2}, ""score_drift"": 0}",,checkpoint refresh
16,2026-07-30 11:33:18,load-seed,db_meta,,"{""tables"": {""sources"": 129, ""projects"": 51, ""organizations"": 64, ""project_organizations"": 84, ""events"": 104, ""project_evidence"": 64, ""change_log"": 15, ""db_meta"": 2}}",,fresh rebuild from CSV
17,2026-07-30 11:52:14,add-event,events,105,"{""event_id"": 105, ""project_id"": ""huatong-angola-industry-awards"", ""event_type"": ""expansion"", ""event_date"": ""2026-04-10"", ""source_id"": 131, ""source_url"": ""https://www.opais.ao/economia/bengo-inicia-hoje-primeira-exportacao-de-aluminio-produzido-no-parque-industrial-huatong-angola/"", ""source_created"": true, ""score_old"": 83, ""score_new"": 85, ""breakdown"": {""base"": 60, ""events"": 30, ""evidence"": 10, ""delay"": -15, ""status_penalty"": 0, ""only_announce"": 0, ""version"": ""v1-2026-07""}}",https://www.opais.ao/economia/bengo-inicia-hoje-primeira-exportacao-de-aluminio-produzido-no-parque-industrial-huatong-angola/,
18,2026-07-30 12:05:37,export-csv,db_meta,,"{""rows_exported"": 517, ""tables"": {""sources"": 130, ""projects"": 51, ""organizations"": 64, ""project_organizations"": 84, ""events"": 105, ""project_evidence"": 64, ""change_log"": 17, ""db_meta"": 2}, ""score_drift"": 0}",,checkpoint refresh
19,2026-07-30 15:59:38,load-seed,db_meta,,"{""tables"": {""sources"": 130, ""projects"": 51, ""organizations"": 64, ""project_organizations"": 84, ""events"": 105, ""project_evidence"": 64, ""change_log"": 18, ""db_meta"": 2}}",,fresh rebuild from CSV
20,2026-07-30 19:31:09,relink-event,events,17,"{""table"": ""events"", ""row_id"": 17, ""project_id"": ""brazil-returns-to-filda"", ""source_id_old"": 12, ""source_id_new"": 29, ""source_url"": ""https://www.rfi.fr/pt/angola/20230718-38-edicao-da-filda-arrancou-nesta-terca-feira-em-luanda"", ""source_created"": false, ""cleared"": false, ""note"": ""src12 url malformed (diacritics unreachable); relink to folded-URL source 29 (same RFI article, blocked=exists)"", ""score_old"": 75, ""score_new"": 75}",https://www.rfi.fr/pt/angola/20230718-38-edicao-da-filda-arrancou-nesta-terca-feira-em-luanda,"src12 url malformed (diacritics unreachable); relink to folded-URL source 29 (same RFI article, blocked=exists)"
21,2026-07-30 19:49:55,export-csv,db_meta,,"{""rows_exported"": 520, ""tables"": {""sources"": 130, ""projects"": 51, ""organizations"": 64, ""project_organizations"": 84, ""events"": 105, ""project_evidence"": 64, ""change_log"": 20, ""db_meta"": 2}, ""score_drift"": 0}",,checkpoint refresh
22,2026-07-31 12:52:41,retype-event,events,5,"{""event_id"": 5, ""project_id"": ""sonangol-sonils-filda2023"", ""event_type_old"": ""completion"", ""event_type_new"": ""expansion"", ""source_id"": 4, ""source_url"": ""https://www.sonangol.co.ao/filda-2023-sonangol-encerra-participacao-arrebatando-2-premios/"", ""score_old"": 77, ""score_new"": 72, ""breakdown"": {""base"": 60, ""events"": 20, ""evidence"": 2, ""delay"": -10, ""status_penalty"": 0, ""only_announce"": 0, ""version"": ""v1-2026-07""}, ""note"": ""award mistyped as completion; re-typed per integrity audit 2026-07-31""}",https://www.sonangol.co.ao/filda-2023-sonangol-encerra-participacao-arrebatando-2-premios/,award mistyped as completion; re-typed per integrity audit 2026-07-31
23,2026-07-31 12:52:41,retype-event,events,7,"{""event_id"": 7, ""project_id"": ""anpg-oil-sector-grand-prize"", ""event_type_old"": ""completion"", ""event_type_new"": ""expansion"", ""source_id"": 5, ""source_url"": ""https://anpg.co.ao/noticias/anpg-e-parceiros-conquistam-grande-premio-leao-de-ouro-filda-2023/"", ""score_old"": 84, ""score_new"": 82, ""breakdown"": {""base"": 60, ""events"": 30, ""evidence"": 2, ""delay"": -10, ""status_penalty"": 0, ""only_announce"": 0, ""version"": ""v1-2026-07""}, ""note"": ""award mistyped as completion; re-typed per integrity audit 2026-07-31""}",https://anpg.co.ao/noticias/anpg-e-parceiros-conquistam-grande-premio-leao-de-ouro-filda-2023/,award mistyped as completion; re-typed per integrity audit 2026-07-31
24,2026-07-31 12:52:42,retype-event,events,12,"{""event_id"": 12, ""project_id"": ""angola-startup-summit-2023"", ""event_type_old"": ""completion"", ""event_type_new"": ""expansion"", ""source_id"": 7, ""source_url"": ""https://correiodigital.net/huila-vence-ii-edicao-do-angola-startup-summit-2023/"", ""score_old"": 100, ""score_new"": 98, ""breakdown"": {""base"": 70, ""events"": 23, ""evidence"": 5, ""delay"": 0, ""status_penalty"": 0, ""only_announce"": 0, ""version"": ""v1-2026-07""}, ""note"": ""award mistyped as completion; re-typed per integrity audit 2026-07-31""}",https://correiodigital.net/huila-vence-ii-edicao-do-angola-startup-summit-2023/,award mistyped as completion; re-typed per integrity audit 2026-07-31
