id,name,type,country,parent_org_id,aliases,description,created_at
aecipa,AECIPA,company,Angola,,,Angolan oil sector association,2026-07-23
aep,AEP - Associacao Empresarial de Portugal,company,Portugal,,,"[""Associacao Empresarial de Portugal""]",2026-07-23
africell,Africell,foreign_investor,USA,,,"Telecom operator, AIPEX Digital Economy 2026",2026-07-23
aia,Associacao Industrial de Angola,company,Angola,,,Angolan Industrial Association,2026-07-23
anglobal,Anglobal Group,company,Angola,,,Telecom and industrial solutions,2026-07-23
anpg,ANPG - Agencia Nacional de Petroleo Gas e Biocombustiveis,state_owned_enterprise,Angola,,"[""Agencia Nacional de Petroleo""]",National Agency for Oil Gas and Biofuels,2026-07-23
azule-energy,Azule Energy,foreign_investor,Italy,,,"[""BP Angola"",""Eni Angola""]",2026-07-23
bai,Banco Angolano de Investimentos,company,Angola,,,Angola's first private bank; parent of BAI Europa (99.99% owned),2026-08-04
bai-europa,BAI Europa,company,Portugal,bai,"BAI European subsidiary, trade finance",2026-07-23,
banco-sol,Banco Sol,company,Angola,,,Angolan bank presenting virtual assistant at FILDA 2023,2026-07-23
bci,BCI - Banco Comercial e de Investimentos,company,Angola,,,"Commercial and investment bank, Leao de Ouro 2025",2026-07-23
bda,BDA - Banco de Desenvolvimento de Angola,state_owned_enterprise,Angola,,,Development Bank of Angola,2026-07-23
bfa,BFA - Banco de Fomento Angola,company,Angola,,,"[""Banco de Fomento Angola""]",2026-07-23
cabinda-refinery,Cabinda Refinery / Imbono Gemcorp,company,Angola,,,"Oil refinery project, AIPEX Energy 2026",2026-07-23
carrinho,Carrinho,company,Angola,,,"Food company, Forum Economic Angola-Portugal",2026-07-23
ccipa,CCIPA - Camara de Comercio e Industria Portugal-Angola,company,Portugal,,,"[""Camara de Comercio Portugal-Angola""]",2026-07-23
central-solar-biopio,Central Solar do Biopio,company,Angola,,,Solar power plant visited by PM Montenegro,2026-07-23
chevron,Chevron,foreign_investor,USA,,,American energy company,2026-07-23
cip,CIP - Confederacao da Industria Portuguesa,company,Portugal,,,"[""Confederacao da Industria Portuguesa""]",2026-07-23
dtic-sa,the dtic - Department of Trade Industry and Competition,government,South Africa,,,South African trade and investment promotion,2026-07-23
emis,EMIS,company,Angola,,,Digital payments solutions,2026-07-23
equinor,Equinor,foreign_investor,Norway,,,"[""Statoil""]",2026-07-23
esso-angola,Esso Angola,foreign_investor,USA,exxonmobil,,ExxonMobil Angola subsidiary,2026-07-23
etu-energias,Etu Energias,company,Angola,,,Angolan energy company,2026-07-23
exxonmobil,ExxonMobil,foreign_investor,USA,,,American energy company,2026-07-23
fabrimetal,Fabrimetal,company,Angola,,,"Steel manufacturing, AIPEX Job Creation 2026",2026-07-23
fundo-garantia-credito,Fundo de Garantia de Credito,state_owned_enterprise,Angola,,,"Credit guarantee fund, Leao de Ouro 2025",2026-07-23
gov-angola,Government of Angola,government,Angola,,"[""Governo de Angola"",""Estado Angolano""]",Government of Angola,2026-07-23
grupo-arena,Grupo Arena,company,Angola,,,"[""Eventos Arena""]",2026-07-23
huambo-dev-office,Gabinete para o Desenvolvimento Economico do Huambo,government,Angola,,,Huambo province economic development office,2026-07-23
huatong-angola,Huatong Angola Industry,company,China,,,"[""Huatong""]",2026-07-23
idii,IDIIA - Instituto de Desenvolvimento Industrial e Inovacao,government,Angola,,,Industrial development and innovation institute,2026-07-23
isptec,ISPTEC,company,Angola,,,Instituto Superior Politecnico de Tecnologias e Ciencias,2026-07-23
ivan-dos-santos,Ivan dos Santos,government,Angola,gov-angola,,Secretary of State for Economy,2026-07-23
iveco-vecauto,IVECO/Vecauto,company,Italy,,,Heavy truck distributor,2026-07-23
jardins-yoba,Jardins da Yoba,company,Angola,,,"Agribusiness, AIPEX award winner 2026",2026-07-23
joao-lourenco,Joao Lourenco,government,Angola,gov-angola,,President of Republic of Angolabai,2026-07-23
lg-electronics,LG Electronics,foreign_investor,South Korea,,,First independent FILDA participation 2024,2026-07-23
lobito-atlantic-railway,Lobito Atlantic Railway (LAR),company,Angola,,,"Railway operator, AIPEX Regional Development 2026",2026-07-23
manuel-nunes-junior,Manuel Nunes Junior,government,Angola,,,Ministro de Estado para Coordenacao Economica,2026-07-23
mario-caetano-joao,Mario Caetano Joao,government,Angola,gov-angola,,Minister of Economy and Planning,2026-07-23
mashreq-bank,Mashreq Bank,foreign_investor,UAE,,,"UAE bank, BFA strategic partner",2026-07-23
mep-angola,Ministry of Economy and Planning,government,Angola,gov-angola,,"[""MEP"",""Ministerio da Economia e Planeamento""]",2026-07-23
nova-agrolider,Nova Agrolider,company,Angola,,,"Agribusiness, Forum Economic Angola-Portugal",2026-07-23
novabase,Novabase,company,Portugal,,,Portuguese IT company,2026-07-23
omataplo,Omataplo,company,Angola,,,"Green investment, AIPEX award winner 2026",2026-07-23
pay4all,Pay4all,company,Angola,,,Digital payments fintech,2026-07-23
petrotec,Petrotec,company,Portugal,,,Portuguese engineering company,2026-07-23
porto-lobito,Empresa Portuaria do Lobito - EP,state_owned_enterprise,Angola,,,Port of Lobito operator,2026-07-23
powergol,Powergol,company,Angola,,,Food company visited by PM Montenegro,2026-07-23
primavera,Primavera,company,Portugal,,,Portuguese software company,2026-07-23
quinta-jugais,Quinta dos Jugais,company,Portugal,,,"Portuguese food company, Forum Economic",2026-07-23
refriango,Refriango,company,Angola,,,Beverage company visited by PM Montenegro,2026-07-23
secil-maritima,Secil Maritima,company,Portugal,,,Construction materials,2026-07-23
sia-huila,SIA - Sistema de Investimento para o Agronegocio,company,Angola,,,Startup from Huila winning Angola Startup Summit 2023,2026-07-23
sonangol,Sonangol,state_owned_enterprise,Angola,,"[""Sonangol E.P."",""Petrolifera Nacional""]",National oil company of Angola,2026-07-23
sonils,SONILS,company,Angola,sonangol,,"[""Sonangol Logistics""]",2026-07-23
standard-bank-ao,Standard Bank de Angola,company,South Africa,,,Standard Bank Angola operations,2026-07-23
ta-cuiar,Ta Cuiar,company,Angola,,,"Food/catering, FILDA debut 2024",2026-07-23
tis,TIS,company,Angola,,,"Technology solutions, Oracle Financial for SMEs",2026-07-23
totalenergies,TotalEnergies,foreign_investor,France,,"[""Total""]",French energy company,2026-07-23
ucall,Ucall,company,Angola,,,AI-powered contact center solutions,2026-07-23
unitel,Unitel,company,Angola,,,Largest Angolan telecom operator,2026-07-23
wesgro,Wesgro,government,South Africa,,,Western Cape tourism trade and investment promotion,2026-07-23
zap,ZAP,company,Angola,,,Multichoice Angola telecom operator,2026-07-23
quilemba-solar,Quilemba Solar Lda,company,Angola,,,JV TotalEnergies/Sonangol/Maurel & Prom; operates the Quilemba solar PV park,2026-08-04
safcomex,Safcomex Limitada,company,Angola,,,Angolan agri-food group; soya/cooking-oil/bran factory,2026-08-04
baia-fish,Pescaria Baia Fish,company,Angola,,,"Vertically-integrated fish catching/processing, Baia Farta, Benguela",2026-08-04
ponto-mais,Ponto Mais (Casa Nova group),company,Angola,,,"Furniture manufacturer (Casa Nova group), Luanda",2026-08-04
world-bank,World Bank,foreign_investor,USA,,,Multilateral development bank; IBRD lending,2026-08-04
afdb,African Development Bank,foreign_investor,Cote d Ivoire,,,Multilateral development bank; Angola portfolio ~USD 1.2B across 14 projects,2026-08-04
agl,Africa Global Logistica (AGL),foreign_investor,France,,,French logistics group; Port of Lobito multipurpose terminal operator,2026-08-11
esplendor-florestal,Esplendor Florestal,company,Angola,,,"Wood plantation and timber transformation, Benguela/Huambo",2026-08-11
casais-angola,Casais Angola Engenharia e Construcao SA,foreign_investor,Portugal,,,"Portuguese civil construction group, Angola subsidiary",2026-08-11
koll-mob,Koll Mob Angola,company,Angola,,,"Furniture manufacturer, Luanda",2026-08-11
fuanda-internacional,Fuanda Internacional,foreign_investor,China,,,"Chinese silicon production investor, Bengo",2026-08-11
metalosul,Metalosul,company,Angola,omataplo,,Omatapalo Group subsidiary; Luanda solar project company,2026-08-11
corporacion-america-airports,Corporación América Airports (CAAP),foreign_investor,Luxembourg,,,Global airport operator; 52 airports in 6 countries; NYSE-listed; AIAAN concession consortium leader,2026-08-11
mota-engil-africa,Mota-Engil Engenharia e Construção África,foreign_investor,Portugal,,,Portuguese construction group's African arm; AIAAN concession consortium member,2026-08-11
ad-ports-group,AD Ports Group,foreign_investor,UAE,,,Abu Dhabi ports and logistics group; Luanda multipurpose terminal concessionaire,2026-08-11
unicargas,Unicargas,company,Angola,,,Angolan logistics company; AD Ports JV partner at the Port of Luanda,2026-08-11
multiparques,Multiparques,company,Angola,,,Angolan logistics company; AD Ports JV partner at the Port of Luanda,2026-08-11
sogester,Sogester (Sociedade Gestora de Terminais),company,Angola,,,"Angolan port terminal operator; JV of APM Terminals and GFA; operates Luanda Terminal II, Namibe, Cabinda and Soyo terminals",2026-08-11
mintrans,Ministry of Transport (MINTRANS),government,Angola,,,"Angolan Ministry of Transport; concession authority for ports, railways and airports",2026-08-11
afreximbank,African Export-Import Bank (Afreximbank),foreign_investor,Egypt,,,Pan-African multilateral trade finance institution headquartered in Cairo; mandated lead arranger for the Amufert Soyo fertiliser complex,2026-08-11
european-investment-bank,European Investment Bank (EIB),foreign_investor,Luxembourg,,,EU's lending arm; EIB Global finances projects outside the EU; EUR 50M for Angola's HPV vaccination campaign,2026-08-11
global-fund,"The Global Fund to Fight AIDS, Tuberculosis and Malaria",foreign_investor,Switzerland,,,"International financing institution based in Geneva; GC7 grant to Angola (US$126M, 2024-2027)",2026-08-11
green-climate-fund,Green Climate Fund (GCF),foreign_investor,South Korea,,,UNFCCC financial mechanism headquartered in Songdo; funds CREW Angola (SAP044),2026-08-11
sahara-sahel-observatory,Sahara and Sahel Observatory (OSS),company,Tunisia,,,Intergovernmental organisation; GCF implementing entity for CREW Angola,2026-08-11
adpp-angola,ADPP Angola,company,Angola,,,Angolan NGO (Ajuda de Desenvolvimento de Povo para Povo); CREW Angola implementing partner,2026-08-11
opaia-group,OPAIA Group,company,Angola,,,Angolan private group; Amufert JV partner with Sonangol P&P Natural Gas,2026-08-11
sonagas,Sonangol P&P Natural Gas (Sonagas),state_owned_enterprise,Angola,sonangol,,Sonangol subsidiary; Amufert JV partner,2026-08-11
minsa,Ministry of Health (MINSA),government,Angola,,,Angolan health ministry; GC7 grant signatory and HPV campaign lead,2026-08-11
undp,United Nations Development Programme (UNDP),foreign_investor,United States,,,UN development agency; GC7 principal recipient in Angola,2026-08-11
agtf,Africa Growing Together Fund (AGTF),foreign_investor,China,,,"US$2B co-financing facility sponsored by the People's Bank of China, administered by the African Development Bank; co-financed the Coastal Towns Inclusive Sanitation Project (US$49.4M)",2026-08-11
jica,Japan International Cooperation Agency (JICA),foreign_investor,Japan,,,"Japan's bilateral development agency; financed the Southern Region Transmission System Reinforcement (JPY 39.105B, 2025), co-financed with AfDB under ACFA",2026-08-11
afc,Africa Finance Corporation (AFC),foreign_investor,Nigeria,,,Pan-African multilateral development finance institution headquartered in Abuja; led the EUR 85M national road bridges facility for Angola (2024-2025),2026-08-11
afd,Agence Francaise de Developpement (AFD),foreign_investor,France,,,French public development finance institution; US$150M co-financier of WSIDP2 and of RECLIMA in Angola,2026-08-11
sfd,Saudi Fund for Development (SFD),foreign_investor,Saudi Arabia,,,Saudi sovereign development fund; US$100M loan for the Catumbela Industrial Development Project Phase 1 (signed 9 Nov 2023),2026-08-11
ifad,International Fund for Agricultural Development (IFAD),foreign_investor,Italy,,,"UN specialized agency headquartered in Rome; leads SREP (EUR 26.2M loan, 2020) and AFAP-2 (US$57.78M, 2024) in Angola",2026-08-11
badea,Arab Bank for Economic Development in Africa (BADEA),foreign_investor,Sudan,,,"Arab multilateral development bank (founded 1973, HQ Khartoum, 18 Arab member states); US$40M co-financier of SREP in Angola",2026-08-11
eu,European Union (EU),foreign_investor,Belgium,,,Supranational union of 27 member states (HQ Brussels); US$10M grant co-financier of AFAP-2 in Angola,2026-08-11
