id,project_id,field,value,source_id,observed_at
1,huatong-angola-industry-awards,status,operational,54,2026-07-17
2,huatong-angola-industry-awards,announced_value,900000000,125,2026-07-20
3,huatong-angola-industry-awards,estimated_jobs,2000,125,2026-07-20
4,huatong-angola-industry-awards,actual_completion,2029,125,2026-07-20
5,linha-verde-investor-visas,status,delayed,67,2024-01-01
6,pt-ao-credit-line-2-5b,status,operational,36,2024-07-23
7,pt-ao-credit-line-2-5b,announced_value,2500000000,36,2024-07-23
8,pt-ao-credit-line-3-25b,status,operational,135,2025-07-25
9,pt-ao-credit-line-3-25b,announced_value,3250000000,135,2025-07-25
10,chicomba-water-dam,status,under_construction,129,2026-06-13
11,chicomba-water-dam,announced_value,67248177.95,128,2024-01-01
12,investment-portal-georeferenced,status,operational,70,2024-07-01
13,investment-portal-georeferenced,actual_completion,2024,70,2024-07-01
14,etu-energias-leao-ouro-2025,status,operational,123,2025-07-27
61,aep-delegation-filda2025,status,completed,127,2025-07-27
62,aep-delegation-filda2026,status,completed,55,2026-07-26
63,africell-aipex-2026,status,operational,54,2026-07-17
64,angola-startup-summit-2022,status,completed,23,2022-07-20
65,angola-startup-summit-2023,status,completed,7,2023-07-22
66,angola-startup-summit-2023,announced_value,10000000.0,7,2023-05-01
67,angola-startup-summit-2023,actual_completion,2024,7,2023-07-22
68,anpg-oil-sector-grand-prize,status,operational,5,2023-07-18
69,bda-financing-filda2025,status,announced,126,2025-07-22
70,bfa-30th-anniversary-filda,status,operational,8,2023-07-17
71,bfa-mashreq-partnership,status,operational,124,2025-07-16
72,brazil-returns-to-filda,status,operational,12,2023-07-18
73,cip-cooperation-pt-ao,status,operational,13,2023-07-18
74,digital-infrastructure-pledge,status,operational,14,2023-07-18
75,esso-angola-filda2022,status,operational,26,2022-07-16
76,fabrimetal-aipex-2026,status,operational,54,2026-07-17
77,feito-em-angola-relaunch-2022,status,operational,24,2022-07-16
78,filda-2023-2-billion-business,status,announced,103,2023-07-18
79,filda-2023-2-billion-business,announced_value,2000000000.0,103,2023-07-18
80,filda-2023-2-billion-business,estimated_jobs,1000,103,2023-07-18
81,grain-production-ambition-2022,status,announced,17,2022-07-16
82,huambo-investment-promotion-2022,status,announced,20,2022-07-17
83,huatong-aipex-awards-2026,status,operational,54,2026-07-17
84,huatong-aipex-awards-2026,announced_value,900000000.0,54,2026-07-21
85,huatong-aipex-awards-2026,estimated_jobs,2000,54,2026-07-21
86,iveco-tway-launch,status,operational,49,2024-07-23
87,jardins-yoba-aipex-2026,status,operational,54,2026-07-17
88,lobito-atlantic-railway-aipex,status,operational,54,2026-07-17
89,montenegro-company-visits,status,completed,40,2024-07-25
90,mou-aia-cip-2024,status,operational,36,2024-07-23
91,mou-idii-ualgarve,status,announced,36,2024-07-23
92,omataplo-aipex-2026,status,operational,54,2026-07-17
93,pay4all-leao-ouro-2024,status,operational,48,2024-07-23
94,porto-lobito-leao-ouro-2022,status,operational,27,2022-07-16
95,portugal-30-companies-2022,status,completed,19,2022-07-20
96,portuguese-investment-zee-330m,status,delayed,97,2026-07-01
97,portuguese-investment-zee-330m,announced_value,330000000.0,6,2023-07-18
98,prosil-isptec-2022,status,announced,23,2022-07-20
99,pt-ao-bilateral-2024,status,operational,36,2024-07-23
100,sa-angola-investment-2022,status,announced,18,2022-07-15
101,sa-angola-investment-2022,announced_value,19000000.0,18,2022-07-15
102,sonangol-leao-ouro-2022,status,operational,28,2022-07-16
103,sonangol-leao-ouro-2024,status,operational,45,2024-07-23
104,sonangol-leao-ouro-2025,status,operational,122,2025-07-22
105,sonangol-sonils-filda2023,status,operational,4,2023-07-18
106,ucall-ai-launch,status,announced,49,2024-07-23
107,unitel-leao-ouro-2024,status,operational,47,2024-07-23
108,vi-encontro-empresarial-pt-ao,status,completed,83,2023-07-18
109,vi-encontro-empresarial-pt-ao,actual_completion,2026,83,2023-07-18
110,zap-empresas-filda2022,status,operational,25,2022-07-16
