id,project_id,organization_id,role
76,aep-delegation-filda2025,aep,promoter
84,aep-delegation-filda2026,aep,promoter
81,africell-aipex-2026,africell,promoter
44,angola-startup-summit-2022,grupo-arena,operator
43,angola-startup-summit-2022,mep-angola,partner
23,angola-startup-summit-2023,mep-angola,partner
22,angola-startup-summit-2023,sia-huila,promoter
17,anpg-oil-sector-grand-prize,aecipa,partner
9,anpg-oil-sector-grand-prize,anpg,promoter
12,anpg-oil-sector-grand-prize,azule-energy,partner
11,anpg-oil-sector-grand-prize,chevron,partner
16,anpg-oil-sector-grand-prize,equinor,partner
15,anpg-oil-sector-grand-prize,etu-energias,partner
13,anpg-oil-sector-grand-prize,exxonmobil,partner
14,anpg-oil-sector-grand-prize,sonangol,partner
10,anpg-oil-sector-grand-prize,totalenergies,partner
97,asrp-agriculture-reform,afdb,financier
89,baia-fish-processing,baia-fish,operator
72,banco-sol-mc-empresas-2025,banco-sol,promoter
25,banco-sol-virtual-assistant,banco-sol,promoter
73,bda-financing-filda2025,bda,promoter
24,bfa-30th-anniversary-filda,bfa,promoter
74,bfa-mashreq-partnership,bfa,promoter
75,bfa-mashreq-partnership,mashreq-bank,partner
93,bita-water-supply,world-bank,financier
29,brazil-returns-to-filda,gov-angola,promoter
82,cabinda-refinery-aipex-2026,cabinda-refinery,promoter
91,cabinda-refinery-build,cabinda-refinery,operator
53,chicomba-water-dam,bai-europa,financier
32,cip-cooperation-pt-ao,aep,partner
31,cip-cooperation-pt-ao,ccipa,partner
30,cip-cooperation-pt-ao,cip,promoter
5,digital-infrastructure-pledge,gov-angola,promoter
6,digital-infrastructure-pledge,joao-lourenco,promoter
96,eseep-energy-transmission,afdb,financier
49,esso-angola-filda2022,esso-angola,promoter
70,etu-energias-leao-ouro-2025,etu-energias,promoter
80,fabrimetal-aipex-2026,fabrimetal,promoter
47,feito-em-angola-relaunch-2022,mario-caetano-joao,promoter
46,feito-em-angola-relaunch-2022,mep-angola,promoter
27,filda-2023-2-billion-business,grupo-arena,operator
26,filda-2023-2-billion-business,mep-angola,promoter
33,grain-production-ambition-2022,gov-angola,promoter
34,grain-production-ambition-2022,manuel-nunes-junior,promoter
42,huambo-investment-promotion-2022,huambo-dev-office,promoter
77,huatong-aipex-awards-2026,huatong-angola,promoter
28,huatong-angola-industry-awards,huatong-angola,promoter
3,investment-portal-georeferenced,gov-angola,promoter
4,investment-portal-georeferenced,ivan-dos-santos,promoter
61,iveco-tway-launch,iveco-vecauto,promoter
83,jardins-yoba-aipex-2026,jardins-yoba,promoter
1,linha-verde-investor-visas,gov-angola,promoter
2,linha-verde-investor-visas,ivan-dos-santos,promoter
79,lobito-atlantic-railway-aipex,lobito-atlantic-railway,promoter
66,montenegro-company-visits,central-solar-biopio,partner
63,montenegro-company-visits,gov-angola,promoter
68,montenegro-company-visits,lobito-atlantic-railway,partner
67,montenegro-company-visits,porto-lobito,partner
64,montenegro-company-visits,powergol,partner
65,montenegro-company-visits,refriango,partner
95,mosap3-agricultural-transformation,world-bank,financier
55,mou-aia-cip-2024,aia,promoter
56,mou-aia-cip-2024,cip,partner
57,mou-idii-ualgarve,idii,promoter
78,omataplo-aipex-2026,omataplo,promoter
60,pay4all-leao-ouro-2024,pay4all,promoter
94,pdac-commercial-agriculture,world-bank,financier
90,ponto-mais-furniture,ponto-mais,operator
50,porto-lobito-leao-ouro-2022,porto-lobito,promoter
37,portugal-30-companies-2022,aep,promoter
40,portugal-30-companies-2022,novabase,partner
38,portugal-30-companies-2022,petrotec,partner
41,portugal-30-companies-2022,primavera,partner
39,portugal-30-companies-2022,quinta-jugais,partner
18,portuguese-investment-zee-330m,ccipa,financier
45,prosil-isptec-2022,isptec,promoter
52,pt-ao-bilateral-2024,gov-angola,promoter
54,pt-ao-credit-line-2-5b,gov-angola,promoter
71,pt-ao-credit-line-3-25b,gov-angola,promoter
85,quilemba-solar-park,quilemba-solar,operator
86,quilemba-solar-park,sonangol,partner
87,quilemba-solar-park,totalenergies,partner
92,reclima-water-security,world-bank,financier
35,sa-angola-investment-2022,dtic-sa,partner
36,sa-angola-investment-2022,wesgro,partner
88,safcomex-cooking-oil,safcomex,operator
51,sonangol-leao-ouro-2022,sonangol,promoter
58,sonangol-leao-ouro-2024,sonangol,promoter
69,sonangol-leao-ouro-2025,sonangol,promoter
7,sonangol-sonils-filda2023,sonangol,promoter
8,sonangol-sonils-filda2023,sonils,operator
62,ucall-ai-launch,ucall,promoter
59,unitel-leao-ouro-2024,unitel,promoter
19,vi-encontro-empresarial-pt-ao,ccipa,promoter
20,vi-encontro-empresarial-pt-ao,gov-angola,partner
21,vi-encontro-empresarial-pt-ao,ivan-dos-santos,promoter
48,zap-empresas-filda2022,zap,promoter
