id,title,url,date,publisher,archived_url,confidence,last_verified,url_status
1,Angola cria Linha Verde para facilitar vistos de investidores,https://www.giranoticias.com/economia/2023/07/16115-angola-cria-linha-verde-para-facilitar-vistos-de-investidores.html,2023-07-18,Giranoticias,,high,2026-07-25,alive
2,FILDA 2023. Joao Lourenco defende substituicao das importacoes,https://www.istoenoticia.info/filda-2023-joao-lourenco-defende-substituicao-das-importacoes-como-elemento-chave-para-novas-oportunidades-de-negocios-no-pais/,2023-07-18,Isto E Noticia,,high,2026-07-25,alive
3,FILDA 2023: Arranca hoje a maior bolsa de negocios do pais,https://correiodigital.net/filda-2023-arranca-hoje-a-maior-bolsa-de-negocios-do-pais/,2023-07-18,Correio Digital,,high,2026-07-25,alive
4,FILDA 2023 | Sonangol encerra participacao arrebatando 2 premios,https://www.sonangol.co.ao/filda-2023-sonangol-encerra-participacao-arrebatando-2-premios/,2023-07-25,Sonangol,,high,2026-07-25,alive
5,ANPG E PARCEIROS CONQUISTAM GRANDE PREMIO LEAO DE OURO FILDA 2023,https://anpg.co.ao/noticias/anpg-e-parceiros-conquistam-grande-premio-leao-de-ouro-filda-2023/,2023-07-25,ANPG,,high,2026-07-25,alive
6,Angola: Portuguese Investment in Zee Reaches USD 330 Million,https://allafrica.com/stories/202307190023.html,2023-07-18,AllAfrica/ANGOP,http://web.archive.org/web/20230816182531/https://allafrica.com/stories/202307190023.html,medium,2026-07-25,blocked
7,Huila vence II edicao do Angola Startup Summit 2023,https://correiodigital.net/huila-vence-ii-edicao-do-angola-startup-summit-2023/,2023-05-01,Correio Digital,,high,2026-07-25,alive
8,Filda 2023 - 38 Edicao da Feira Internacional de Luanda,https://www.bfa.ao/pt/o-bfa/actualidade/noticias/filda-2023/,2023-07-17,BFA,,high,2026-07-25,alive
9,Banco Sol apresenta na FILDA assistente virtual,,2023-07-18,Giranoticias,,medium,2026-07-25,n/a
10,FILDA 2023 preve realizar negocios acima dos dois mil milhoes de euros,https://jornaleconomico.sapo.pt/noticias/angola-encaixou-dividendos-de-64-milhoes-em-2023-mas-desembolsou-2048-milhoes/,2023-07-18,Jornal Economico,,medium,2026-07-25,alive
12,38 edicao da FILDA arrancou nesta terca-feira em Luanda,https://www.rfi.fr/pt/angola/20230718-38-edição-da-filda-arrancou-nesta-terça-feira-em-luanda,2023-07-18,RFI,,high,2026-07-25,dead
13,CIP reforca cooperacao economica entre Portugal e Angola,https://cip.org.pt/cip-reforca-cooperacao-economica-entre-portugal-e-angola/,2023-07-18,CIP,,medium,2026-07-25,alive
14,Angola vai continuar a investir em infra-estruturas digitais,https://www.cipra.gov.ao/noticias/834/governo/economia-digital-na-filda-2023/angola-vai-continuar-a-investir-em-infra-estruturas-digitais,2023-07-18,CIPRA,,high,2026-07-25,alive
15,A maior bolsa de negocios gera mais de mil empregos para jovens,https://cipra.gov.ao/noticias/838/governo/filda-2023/a-maior-bolsa-de-negocios-gera-mais-de-mil-empregos-para-jovens,2023-07-19,CIPRA,,high,2026-07-25,alive
16,FILDA 2023 arranca hoje com economia digital em destaque,https://www.menosfios.com/filda-2023-arranca-hoje-com-economia-digital-em-destaque/,2023-07-18,Menos Fios,,high,2026-07-25,alive
17,Angola pretende ser o maior produtor de grãos em África,https://turquia.mirex.gov.ao/web/noticias/angola-pretende-ser-o-maior-produtor-de-gr-os-em--frica,2022-07-16,MIREX Angola / Embassy of Angola in Türkiye,,high,2026-07-25,alive
18,South African companies urged to invest in Angola,https://www.gov.za/news/media-statements/south-african-companies-urged-invest-angola-15-jul-2022,2022-07-15,South African Government / the dtic,http://web.archive.org/web/20260623040035/https://www.gov.za/news/media-statements/south-african-companies-urged-invest-angola-15-jul-2022,high,2026-07-25,dead
19,Portugal mobiliza 30 empresas para FILDA/2022,https://correiodigital.net/portugal-mobiliza-30-empresas-para-filda-2022/,2022-07-10,Correio Digital,,medium,2026-07-25,alive
20,FILDA 2022: Huambo quer captar investimentos para Agricultura e Turismo,https://www.embassyangolatr.org/pt/sala-de-imprensa/actualidade-informativa/filda-2022-huambo-quer-captar-investimentos-para-agricultura-e-turismo,2022-07-17,Embaixada da República de Angola na Türkiye,,high,2026-07-25,alive
21,Startup Summit é destaque na FILDA 2022 que arranca amanhã,https://www.menosfios.com/startup-summit-e-destaque-na-filda-2022-que-arranca-amanha/,2022-07-15,Menos Fios,,medium,2026-07-25,alive
22,FILDA 2022: Evento adiado para 16 à 20 de Julho,https://www.menosfios.com/filda-2022-evento-adiado-para-16-a-20-de-julho/,2022-07-12,Menos Fios,,medium,2026-07-25,alive
23,DESTACADO NA FILDA 2022 PROJECTO DE IMPACTO SOCIAL - PROSIL,https://www.isptec.co.ao/noticia/destacado-na-filda-2022-projecto-de-impacto-social---prosil,2022-08-02,ISPTEC,,high,2026-07-25,alive
24,CEFA news article (Feito em Angola),https://www.cefa.co.ao/Noticias/Id/350/1,2022-07,CEFA,,medium,2026-07-25,alive
25,Vidas ZAP reafirma responsabilidade social da ZAP na Lunda Norte e em Luanda,https://www.novagazeta.co.ao/artigo/vidas-zap-reafirma-responsabilidade-social-da-zap-na-lunda-norte-e-em-luanda,2022-07,Nova Gazeta,,medium,2026-07-25,alive
26,ExxonMobil participated in 37th FILDA (Esso Angola Facebook),https://www.facebook.com/EssoAngola/posts/a-exxonmobil-participou-na-37-edicao-da-filda-que-decorreu-de-16-a-20-de-julho-/1494175937685687/,2022-07,Esso Angola (Facebook),,low,2026-07-25,alive
27,FILDA 2022: Porto do Lobito vence prémio de melhor participação dos transportes e logística,https://jornal24horas.ao/economia/filda-2022porto-do-lobito-vence-premio-de-melhor-participacao-dos-transportes-e-logistica/,2022-07-21,Jornal 24 Horas,,medium,2026-07-25,alive
28,Eventos Arena — Sonangol best participation FILDA 2022 (Facebook),https://www.facebook.com/eventosarena.angola/photos/durante-a-cerimonia-de-premios-filda-2022-a-sonangol-destacou-se-como-melhor-par/1870072219852414/,2022-07-20,Eventos Arena (Facebook),,low,2026-07-25,alive
29,38ª edição da FILDA arrancou nesta terça-feira em Luanda,https://www.rfi.fr/pt/angola/20230718-38-edicao-da-filda-arrancou-nesta-terca-feira-em-luanda,2023-07-18,RFI,,medium,2026-07-25,blocked
30,FILDA 2024 alcança volume de negócios de mais de 4 mil milhões de Kwanzas,https://scm.gov.ao/web/noticias/filda-2024-alcanca-volume-de-negocios-de-mais-de-4-mil-milhoes-de-kwanzas,2024-07-29,Ministério da Indústria e Comércio de Angola (via Angop),,high,2026-07-25,alive
31,"FILDA arranca com participação de 18 países, Portugal em destaque (visita Montenegro)",https://www.verangola.net/va/pt/072024/Economia/40859/FILDA-arranca-esta-Terca-feira-com-participacao-de-18-paises-Portugal-em-destaque-com-20-empresas-Visita-oficial-do-primeiro-ministro-portugues.htm,2024-07-22,VerAngola (LUSA),,medium,2026-07-25,alive
